"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Solirubrobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.2556644097793	0.361621063769622	0.430494596869032	3.21434168162328e-07	8.80235106659913e-06	3.21434168162328e-07	6.0985617851339e-06	NA	"abundance"	64	64
"Curtobacterium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	5.34337776263635	0.361621063769622	0.63730154153825	4.71060092753277e-07	1.25773044765125e-05	9.42119963608943e-07	1.61309320598409e-05	NA	"abundance"	64	59
"Massilia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.05106552983754	0.361621063769622	0.264283468378759	5.55012313376184e-07	1.4457393919165e-05	5.55012313376184e-07	9.91450493569835e-06	NA	"abundance"	64	64
"Xanthomonas"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	5.12765222934469	0.361621063769622	0.737712811546136	1.40526412269018e-06	3.5733859119836e-05	2.8105262706131e-06	4.20376560408364e-05	NA	"abundance"	64	59
"Singulisphaera"	"Reads"	"Reads"	"Reads"	0.574629197041705	-0.0299366818476919	0.107266130951961	1.46378111475112e-06	3.6356237919865e-05	1.46378111475112e-06	2.44660557751259e-05	NA	"abundance"	64	64
"Cryobacterium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.32726148889337	0.361621063769622	0.339814177604661	1.85725524089912e-06	4.42780938846872e-05	3.71450703240121e-06	5.22713387297596e-05	NA	"abundance"	64	59
"Erythrobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.77326125249326	0.361621063769622	0.433789347908408	1.8656500232312e-06	4.42780938846872e-05	1.8656500232312e-06	3.04509320951768e-05	NA	"abundance"	64	63
"Mesorhizobium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	1.97826262663474	0.361621063769622	0.222399855049036	1.90860543046692e-06	4.43128391247537e-05	1.90860543046692e-06	3.04509320951768e-05	NA	"abundance"	64	64
"Planosporangium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.95040704201695	0.361621063769622	0.41322179994356	1.96500155275614e-06	4.46515246456076e-05	1.96500155275614e-06	3.06540242229958e-05	NA	"abundance"	64	62
"Patulibacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.33929811235928	0.361621063769622	0.29478073975574	2.814486942905e-06	6.26223344796362e-05	2.814486942905e-06	4.20376560408364e-05	NA	"abundance"	64	64
"Cupriavidus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.17504541036031	0.361621063769622	0.714043680864174	3.06836125973048e-06	6.68777515386153e-05	6.13671310462014e-06	7.83267745353335e-05	NA	"abundance"	64	55
"Dongia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.55364619668085	0.361621063769622	0.328511631531381	3.2529959429873e-06	6.94839933422086e-05	3.2529959429873e-06	4.75750656661892e-05	NA	"abundance"	64	64
"Catellatospora"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.8873582735865	0.361621063769622	0.598475364292657	3.72302982405695e-06	7.79646245508397e-05	3.72302982405695e-06	5.22713387297596e-05	NA	"abundance"	64	47
"Quadrisphaera"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.39446869264093	0	0.954735594439605	4.1682395342145e-06	8.56092273565594e-05	4.1682395342145e-06	5.73745912356584e-05	NA	"prevalence"	64	44
"Flavobacterium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.62975368654663	0.361621063769622	0.796903159416691	4.5909455503088e-06	9.25118839194302e-05	4.5909455503088e-06	6.19777649291688e-05	NA	"abundance"	64	63
"Skermanella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.86500448264924	0.361621063769622	0.421516622322111	4.74678366822434e-06	9.38808325493258e-05	4.74678366822434e-06	6.28724931149714e-05	NA	"abundance"	64	63
"Candidatus_Nostocoida"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.12582689769351	0.361621063769622	0.324039756930356	5.62893230401874e-06	0.000109303630921673	5.62893230401874e-06	7.31761199522436e-05	NA	"abundance"	64	64
"Zavarzinella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.87514971831667	0.361621063769622	0.48607643747253	6.35499070933003e-06	0.00012119875138508	6.35499070933003e-06	7.96643478205301e-05	NA	"abundance"	64	62
"Candidatus_Captivus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.16261848458339	0.361621063769622	0.331986664640441	6.64600845881838e-06	0.000124525211123123	6.64600845881838e-06	8.18508410191317e-05	NA	"abundance"	64	60
"Thalassospira"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.39532708477941	0	0.980886197150225	7.43026176862929e-06	0.000136819302912001	7.43026176862929e-06	8.99317889927201e-05	NA	"prevalence"	64	46
"Ferrovibrio"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	6.63075221202883	0	1.4873165300334	8.26513756010507e-06	0.000149612998545631	1.65302068077113e-05	0.000187164599661505	NA	"prevalence"	64	37
"Limnobacter"	"Reads"	"Reads"	"Reads"	0.835035073519389	-0.0299366818476919	0.174506723680969	8.67811099336093e-06	0.000153510600367299	8.67811099336093e-06	0.000103254812158294	NA	"abundance"	64	63
"Pedosphaera"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.23210384389848	0.361621063769622	0.699896014880435	8.76792754906857e-06	0.000153510600367299	1.75357782215836e-05	0.000195398671611932	NA	"abundance"	64	59
"Bordetella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.3300534208379	0	0.750828306212033	9.19983851166302e-06	0.000158474637588002	1.83995923862974e-05	0.000201820528987199	NA	"prevalence"	64	39
"Streptosporangium"	"Reads"	"Reads"	"Reads"	-1.08763340220091	-0.0299366818476919	0.216002544729615	9.89827406084414e-06	0.000167799312650501	1.97964501458589e-05	0.000213801661575276	NA	"abundance"	64	63
"Actinocorallia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.87597123795413	0.361621063769622	0.661244244509769	1.06459110832112e-05	0.000177653641201087	2.12917088309996e-05	0.000226466357566087	NA	"abundance"	64	53
"Sutterella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.0235159398297	0.361621063769622	0.470777422982747	1.10629327505734e-05	0.000181772495040191	2.21257431126658e-05	0.000231824950225245	NA	"abundance"	64	56
"Caulobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.71398902006199	0.361621063769622	0.44733333951032	1.4012702437539e-05	0.000226751003080177	1.4012702437539e-05	0.000163948618519207	NA	"abundance"	64	63
"Brevundimonas"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.6234231282309	0.361621063769622	0.456090760055442	1.45842791093547e-05	0.000232477762519266	1.45842791093547e-05	0.000167838753028967	NA	"abundance"	64	61
"Defluviicoccus"	"Reads"	"Reads"	"Reads"	0.648399843609653	-0.0299366818476919	0.139443307988044	1.57198170663117e-05	0.000243315429374217	3.14393870199749e-05	0.000310851404056653	NA	"abundance"	64	62
"Sphingopyxis"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.97093477695899	0.361621063769622	0.532178297017976	1.56947321575824e-05	0.000243315429374217	3.13892179905472e-05	0.000310851404056653	NA	"abundance"	64	59
"Deinococcus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.11609247892896	0.361621063769622	0.509841943113927	1.71843207410417e-05	0.000262183636449036	3.43683461812041e-05	0.000330501082454867	NA	"abundance"	64	62
"Ktedonobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.61254965956059	0.361621063769622	0.579114193667218	2.33961492457606e-05	0.00035193080837285	2.33961492457606e-05	0.000241530834860647	NA	"abundance"	64	64
"Zymomonas"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.30014200409986	0.361621063769622	0.541429010285724	2.67609919167796e-05	0.00039695471343223	2.67609919167796e-05	0.00027226400471854	NA	"abundance"	64	56
"Afipia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	1.68632968790356	0.361621063769622	0.257237255508859	3.20128293066245e-05	0.000468352078075	3.20128293066245e-05	0.000312125085739589	NA	"abundance"	64	63
"Dyadobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	5.53757151902652	0.361621063769622	0.976853892931756	3.34423244260105e-05	0.000482654087661881	6.68835304629579e-05	0.000603828687720099	NA	"abundance"	64	60
"Agaricicola"	"Reads"	"Reads"	"Reads"	1.01180788015249	-0.0299366818476919	0.230484166462246	4.026124965827e-05	0.000573196906548037	8.0520878348316e-05	0.000706570707506473	NA	"abundance"	64	60
"Rhodopila"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	4.88026083303236	0	1.18944799709994	4.07892929753285e-05	0.000573196906548037	8.15769221842355e-05	0.000706999992263375	NA	"prevalence"	64	48
"Phenylobacterium"	"Reads"	"Reads"	"Reads"	0.353806595564529	-0.0299366818476919	0.079274979423192	4.22555634631142e-05	0.000586090152968908	4.22555634631142e-05	0.000400856831771705	NA	"abundance"	64	64
"Methylobacterium"	"Reads"	"Reads"	"Reads"	0.653787690782682	-0.0299366818476919	0.152201550282684	4.92780659940261e-05	0.000674730442072049	4.92780659940261e-05	0.000461242697704084	NA	"abundance"	64	64
"Inquilinus"	"Reads"	"Reads"	"Reads"	0.606961128115471	-0.0299366818476919	0.142434035091704	5.95067648348378e-05	0.000804471200551984	5.95067648348378e-05	0.000549654590974423	NA	"abundance"	64	63
"Aciditerrimonas"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.20646210233686	0.361621063769622	0.539273085916204	6.70920764133443e-05	0.000895679220118146	6.70920764133443e-05	0.000603828687720099	NA	"abundance"	64	56
"Anoxybacillus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-4.37844443255875	0.361621063769622	1.05399948387953	7.72997645069394e-05	0.0010192117097952	7.72997645069394e-05	0.000686891578276854	NA	"abundance"	64	48
"Sporosarcina"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.87480120913308	0.361621063769622	0.734031572066916	8.0221289693091e-05	0.00104483338283197	0.000160436143930862	0.00125140192266072	NA	"abundance"	64	57
"Variovorax"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.33750936697977	0.361621063769622	0.368045792672324	8.42225087008923e-05	0.00108373059388618	8.42225087008923e-05	0.00072102684278081	NA	"abundance"	64	64
"Elstera"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	1.84325684158081	0.361621063769622	0.321566986695015	8.63204512225286e-05	0.00109750287982929	8.63204512225286e-05	0.000730083816364038	NA	"abundance"	64	63
"Crossiella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.04226674606107	0.361621063769622	0.303743124006212	9.84759859805021e-05	0.00123732180031972	9.84759859805021e-05	0.000822977882837054	NA	"abundance"	64	64
"Rudaea"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.27700752329286	0.361621063769622	0.600002462501478	0.000101774124640177	0.00126389261762452	0.000101774124640177	0.000840534535263579	NA	"abundance"	64	47
"Acidobacteria_bacterium_Ellin7246"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.15413956360033	0.361621063769622	0.556466940693104	0.000107099200706183	0.00131473501556555	0.000107099200706183	0.000874228359252795	NA	"abundance"	64	38
"Geobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.67158747853051	0.361621063769622	0.67887101226364	0.000116787430204286	0.00141737472111565	0.000116787430204286	0.000942353747165618	NA	"abundance"	64	36
"Illumatobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.45850774477676	0.361621063769622	0.3949801659885	0.000123895190007235	0.00148674228008682	0.000247775029996363	0.0018309270637626	NA	"abundance"	64	37
"Isosphaera"	"Reads"	"Reads"	"Reads"	0.583535573860077	-0.0299366818476919	0.145529351639864	0.000128618469188946	0.00152627250104216	0.000128618469188946	0.00102602460648454	NA	"abundance"	64	64
"Georgenia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.10406260688469	0.361621063769622	0.795660717985275	0.00015119561371484	0.00177447159832362	0.00015119561371484	0.00119257663851481	NA	"abundance"	64	36
"Candidatus_Entotheonella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-3.2507479273357	0.361621063769622	0.862125900898159	0.000156017749291849	0.00181116256786624	0.000312011157045603	0.00223501869638789	NA	"abundance"	64	48
"Rhodopseudomonas"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.92544203625235	0.361621063769622	0.461474704312462	0.000168021139012529	0.00192953308027291	0.000168021139012529	0.00129616307238236	NA	"abundance"	64	63
"bacterium_enrichment_culture_clone_heteroC45_4W"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.38073792096624	0	0.641685702204395	0.000207152150099366	0.00235360102453322	0.00041426138818544	0.00282341256802115	NA	"prevalence"	64	29
"Malawimonas_jakobiformis"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.99836876791908	0	1.08441936461595	0.000226819203049428	0.00254992535638725	0.000226819203049428	0.00173072913631194	NA	"prevalence"	64	27
"Gemmatimonas"	"Reads"	"Reads"	"Reads"	-0.715162923209188	-0.0299366818476919	0.171092614467662	0.000233269200080449	0.00259511985089499	0.000233269200080449	0.0017608062199621	NA	"abundance"	64	64
"Candidatus_Microthrix"	"Reads"	"Reads"	"Reads"	0.405148525647644	-0.0299366818476919	0.105424338861141	0.000240352204319447	0.0026463521052904	0.000240352204319447	0.00179497071736438	NA	"abundance"	64	64
"Aquicella"	"Reads"	"Reads"	"Reads"	-0.635728942418947	-0.0299366818476919	0.14787168926217	0.000254547782231014	0.00277405134104819	0.000254547782231014	0.00186138065756429	NA	"abundance"	64	64
"Lysobacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.56737270101974	0.361621063769622	0.792296108081133	0.000261456188104018	0.00282055766560698	0.000261456188104018	0.00189218808297959	NA	"abundance"	64	63
"Janthinobacterium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.66188715148368	0.361621063769622	0.697712238141294	0.000280149316204496	0.00299199469706401	0.000560220148769621	0.00360802334345205	NA	"abundance"	64	62
"Thermoactinomyces"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.15597351481215	0.361621063769622	0.61597710704732	0.000318857408892572	0.00337168032373531	0.000318857408892572	0.00226098889942005	NA	"abundance"	64	39
"Roseomonas"	"Reads"	"Reads"	"Reads"	0.998058130761758	-0.0299366818476919	0.268441846629687	0.000345747258656735	0.0036201771788764	0.000345747258656735	0.00242714575577028	NA	"abundance"	64	63
"Rhizomicrobium"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	1.768916734446	0.361621063769622	0.338686270271911	0.000369735475252929	0.00383376201524396	0.000369735475252929	0.00256984459037184	NA	"abundance"	64	64
"Alicyclobacillus"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-2.69027798270841	0.361621063769622	0.625207693953293	0.000379180144133217	0.00389388840321419	0.000379180144133217	0.00260965158021096	NA	"abundance"	64	16
"Penicillium_digitatum_PHI26"	"Reads"	"Reads"	"Reads"	-3.20310362840282	-0.0299366818476919	0.70403728000335	0.000421295605594665	0.00428517815976288	0.000421295605594665	0.00284374533776399	NA	"abundance"	64	18
"Serratia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.36644718981399	0	0.674401457417246	0.000449863931436752	0.00453259130919293	0.000899525485316696	0.00517595812042886	NA	"prevalence"	64	32
"Skermanella"	"Reads"	"Reads"	"Reads"	0.506077042362895	-0.0299366818476919	0.140220501525304	0.000472331002982253	0.00467082880726895	0.000472331002982253	0.00315787013422421	NA	"abundance"	64	63
"Advenella"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	2.54027445722801	0	0.726439513548994	0.000470727090901894	0.00467082880726895	0.000941232597809678	0.00524401018779678	NA	"prevalence"	64	42
"Luteibacter"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	3.50824594827778	0.361621063769622	0.507797007558039	0.00047962115950353	0.00469940732430981	0.00047962115950353	0.00317635899973092	NA	"abundance"	64	64
"CL500-29_marine_group"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.09523405808034	0.361621063769622	0.33268039432605	0.000487039827456186	0.00472871396112006	0.000487039827456186	0.00319534541003965	NA	"abundance"	64	64
"Bryobacter"	"Reads"	"Reads"	"Reads"	0.396913011226879	-0.0299366818476919	0.110743558486785	0.000502572161013654	0.00483555917083407	0.000502572161013654	0.00326671904658875	NA	"abundance"	64	64
"Iamia"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	1.80870845882025	0.361621063769622	0.182828259538527	0.00057216557702851	0.00545600746666472	0.00057216557702851	0.00365145668249104	NA	"abundance"	64	64
"Sphingomonas"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	1.19139085549439	0.361621063769622	0.177620726816383	0.000579010088097555	0.00547241392998397	0.000579010088097555	0.00366184758418454	NA	"abundance"	64	64
"Zymomonas"	"Reads"	"Reads"	"Reads"	0.645616605512931	-0.0299366818476919	0.181035241162289	0.000585086618598974	0.00548133779529565	0.00116983091084668	0.00634142028009775	NA	"abundance"	64	56
"Candidatus_Nitrotoga"	"Soil"	"Rhizosphere Soil"	"SoilRhizosphere Soil"	-1.92518574204718	0.361621063769622	0.59064891939158	0.000595105906581332	0.00552672268025098	0.00118985766212262	0.00637618380771051	NA	"abundance"	64	40
